97,OWNER,classic,Ostrava - mesto,10673,0.69,100,454719,102876,A
105,OWNER,classic,Tabor,9104,0.56,123,335765,352704,C
110,OWNER,classic,Liberec,9198,0.95,131,618482,162576,C
132,OWNER,classic,Teplice,9317,0.58,97,750458,88440,A
226,OWNER,classic,Karvina,10177,1.12,81,536639,109344,C
276,OWNER,classic,Louny,8965,1.15,104,684680,160920,C
303,OWNER,classic,Novy Jicin,8678,0.36,102,408988,112752,C
339,OWNER,classic,Nachod,8369,0.52,117,1229184,468060,C
544,OWNER,classic,Ceska Lipa,9272,0.42,118,634898,91152,A
666,OWNER,classic,Plzen - jih,8561,0.64,110,393218,12540,A
675,OWNER,classic,Jihlava,8757,0.57,96,315889,102240,C
718,OWNER,classic,Hl.m. Praha,12541,0.14,167,1534452,76944,A
790,OWNER,classic,Brno - mesto,9897,0.36,140,306286,208128,B
825,OWNER,classic,Prachatice,8402,0.85,120,442313,53076,A
846,OWNER,classic,Olomouc,8994,0.99,110,1111703,187104,A
940,OWNER,gold,Litomerice,9065,0.93,123,972794,284280,C
960,OWNER,classic,Kladno,9753,0.41,109,1089725,189060,C
993,OWNER,classic,Kutna Hora,8546,1.07,126,973594,108720,C
1480,OWNER,classic,Usti nad Labem,9832,1.16,114,967934,123300,C
1698,OWNER,classic,Frydek - Mistek,9893,0.63,96,508078,141948,C
1766,OWNER,classic,Plzen - sever,8594,0.39,112,498030,30060,C
1843,OWNER,classic,Ceske Budejovice,10045,0.29,135,496466,105804,A
1862,OWNER,classic,Prachatice,8402,0.85,120,1010633,396120,C
1869,OWNER,classic,Hl.m. Praha,12541,0.14,167,652754,37944,C
1876,OWNER,junior,Hl.m. Praha,12541,0.14,167,498129,209040,C
2000,OWNER,classic,Kolin,9307,0.58,118,494355,290820,C
2051,OWNER,gold,Zlin,9624,0.71,145,1472449,293880,D
2062,OWNER,classic,Karvina,10177,1.12,81,1069215,86184,A
2080,OWNER,classic,Ostrava - mesto,10673,0.69,100,1255677,214596,C
2116,OWNER,classic,Karvina,10177,1.12,81,432007,92400,A
2143,OWNER,junior,Hl.m. Praha,12541,0.14,167,590121,71460,C
2153,OWNER,classic,Tachov,8930,0.68,108,758072,61560,A
2167,OWNER,classic,Jindrichuv Hradec,8427,0.42,107,629838,170256,A
2218,OWNER,classic,Prachatice,8402,0.85,120,1095633,182040,C
